Message{content='message1', level=fatal, namespace='ModalityComponent', timestamp=2021-03-24T09:39:24.588}
Message{content='message2', level=error, namespace='VSAComponent', timestamp=2021-03-24T09:39:24.601}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T09:39:24.602}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T09:39:24.602}
Message{content='message1', level=fatal, namespace='ModalityComponent', timestamp=2021-03-24T10:08:30.418}
Message{content='message2', level=error, namespace='VSAComponent', timestamp=2021-03-24T10:08:30.431}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T10:08:30.432}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T10:08:30.432}
Message{content='message1', level=fatal, namespace='ModalityComponent', timestamp=2021-03-24T10:09:31.735}
Message{content='message2', level=error, namespace='VSAComponent', timestamp=2021-03-24T10:09:31.746}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T10:09:31.747}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T10:09:31.747}
Message{content='message1', level=fatal, namespace='ModalityComponent', timestamp=2021-03-24T10:17:53.844}
Message{content='message2', level=error, namespace='VSAComponent', timestamp=2021-03-24T10:17:53.860}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T10:17:53.861}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T10:17:53.861}
Message{content='message1', level=fatal, namespace='ModalityComponent', timestamp=2021-03-24T10:18:50.017}
Message{content='message2', level=error, namespace='VSAComponent', timestamp=2021-03-24T10:18:50.027}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T10:18:50.028}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T10:18:50.028}
Message{content='message1', level=fatal, namespace='ModalityComponent', timestamp=2021-03-24T13:22:49.919}
Message{content='message2', level=error, namespace='VSAComponent', timestamp=2021-03-24T13:22:49.937}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T13:22:49.939}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-24T13:22:49.939}
Message{content='message1', level=fatal, namespace='ModalityComponent', timestamp=2021-03-30T08:03:23.814}
Message{content='message2', level=error, namespace='VSAComponent', timestamp=2021-03-30T08:03:23.841}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-30T08:03:23.844}
Message{content='message3', level=info, namespace='VSAAComponent', timestamp=2021-03-30T08:03:23.844}
